Source,Target,Value_tC,Carrier,Flow,flow_type,,,,,,,,,,,
Domestic extraction,Direct material inputs,335194699.9,Crops,Biogenic,Inflow,,,,,,,,,,,
Domestic extraction,Direct material inputs,154759705.5,Wood,Biogenic,Inflow,,,,,,,,,,,
Domestic extraction,Direct material inputs,575032.635,Fishery,Biogenic,Inflow,,,,,,,,,,,
Imports,Direct material inputs,39368563.76,Crops,Biogenic,Inflow,,,,,,,,,,,
Imports,Direct material inputs,12496954.5,Wood,Biogenic,Inflow,,,,,,,,,,,
Imports,Direct material inputs,707438.61,Fishery,Biogenic,Inflow,,,,,,,,,,,
Imports,Direct material inputs,680816.61,Live animals and animal products,Biogenic,Inflow,,,,,,,,,,,
Imports,Direct material inputs,38403486.96,Products mainly from biomass,Biogenic,Inflow,,,,,,,,,,,
Direct material inputs,Exports,32497269.24,Crops,Biogenic,Inflow,,,,,,,,,,,
Direct material inputs,Exports,16310203.5,Wood,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Exports,227941.83,Fishery,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Exports,1997383.59,Live animals and animal products,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Exports,44428139.18,Products mainly from biomass,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Feed,3692594.2,Live animals and animal products,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Feed,68405174,Crops,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Feed,369630,Products mainly from biomass,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Feed,191360,Fishery,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Food,15002361.8,Live animals and animal products,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Food,42010194,Crops,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Food,7207960,Products mainly from biomass,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Food,1327560,Fishery,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Losses,129476.6,Live animals and animal products,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Losses,5258288,Crops,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Losses,19930,Products mainly from biomass,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Other Uses,510008,Live animals and animal products,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Other Uses,10925714,Crops,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Other Uses,6991310,Products mainly from biomass,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Other Uses,2860,Fishery,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Emissions from biomass,153079940,Aggregated biomass,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Industrial wood,88417465,Wood,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Fuel wood,31366265,Wood,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Waste,29349500,Aggregated biomass,Biogenic,Outflow,,,,,,,,,,,
Direct material inputs,Unknown carbon,22468171.16,Aggregated biomass,Biogenic,Outflow,,,,,,,,,,,